0.800000,1.800000,DIR_RIGHT,TURN_RIGHT
0.800000,1.800000,FOLLOW,FORWARD
0.807162,1.799261,FOLLOW,FORWARD
0.815111,1.798358,FOLLOW,FORWARD
0.823059,1.797445,FOLLOW,FORWARD
0.831006,1.796533,FOLLOW,FORWARD
0.838954,1.795621,FOLLOW,FORWARD
0.846902,1.794708,FOLLOW,FORWARD
0.854850,1.793796,FOLLOW,FORWARD
0.862798,1.792884,FOLLOW,FORWARD
0.870745,1.791971,FOLLOW,FORWARD
0.878693,1.791059,FOLLOW,FORWARD
0.886641,1.790147,FOLLOW,FORWARD
0.894589,1.789235,FOLLOW,FORWARD
0.902537,1.788322,FOLLOW,FORWARD
0.910484,1.787410,FOLLOW,FORWARD
0.918432,1.786498,FOLLOW,FORWARD
0.926380,1.785585,FOLLOW,FORWARD
0.934328,1.784673,FOLLOW,FORWARD
0.942276,1.783761,FOLLOW,FORWARD
0.950224,1.782848,FOLLOW,FORWARD
0.958171,1.781936,FOLLOW,FORWARD
0.966119,1.781024,FOLLOW,FORWARD
0.974067,1.780112,FOLLOW,FORWARD
0.982015,1.779199,FOLLOW,FORWARD
0.989963,1.778287,FOLLOW,FORWARD
0.997910,1.777375,FOLLOW,FORWARD
1.005858,1.776462,FOLLOW,FORWARD
1.013806,1.775550,FOLLOW,FORWARD
1.021754,1.774638,FOLLOW,FORWARD
1.029702,1.773726,FOLLOW,FORWARD
1.037649,1.772813,FOLLOW,FORWARD
1.045597,1.771901,FOLLOW,FORWARD
1.053545,1.770989,FOLLOW,FORWARD
1.061493,1.770076,FOLLOW,FORWARD
1.069441,1.769164,FOLLOW,FORWARD
1.077389,1.768252,FOLLOW,FORWARD
1.085336,1.767339,FOLLOW,FORWARD
1.093284,1.766427,FOLLOW,FORWARD
1.101232,1.765515,FOLLOW,FORWARD
1.109180,1.764603,FOLLOW,FORWARD
1.117128,1.763690,FOLLOW,FORWARD
1.125075,1.762778,FOLLOW,FORWARD
1.133023,1.761866,FOLLOW,FORWARD
1.140971,1.760953,FOLLOW,FORWARD
1.148919,1.760041,FOLLOW,FORWARD
1.156867,1.759129,FOLLOW,FORWARD
1.164814,1.758216,FOLLOW,FORWARD
1.172762,1.757304,FOLLOW,FORWARD
1.180710,1.756392,FOLLOW,FORWARD
1.188658,1.755480,FOLLOW,FORWARD
1.196606,1.754567,FOLLOW,FORWARD
1.204554,1.753655,FOLLOW,FORWARD
1.212501,1.752743,FOLLOW,FORWARD
1.220449,1.751830,FOLLOW,FORWARD
1.228397,1.750918,FOLLOW,FORWARD
1.236345,1.750006,FOLLOW,FORWARD
1.244293,1.749094,FOLLOW,FORWARD
1.252240,1.748181,FOLLOW,FORWARD
1.260188,1.747269,FOLLOW,FORWARD
1.268136,1.746357,FOLLOW,FORWARD
1.276084,1.745444,FOLLOW,FORWARD
1.284032,1.744532,FOLLOW,FORWARD
1.291979,1.743620,FOLLOW,FORWARD
1.299927,1.742707,FOLLOW,FORWARD
1.307875,1.741795,FOLLOW,FORWARD
1.315823,1.740883,FOLLOW,FORWARD
1.323771,1.739971,FOLLOW,FORWARD
1.331719,1.739058,FOLLOW,FORWARD
1.339666,1.738146,FOLLOW,FORWARD
1.347614,1.737234,FOLLOW,FORWARD
1.355562,1.736321,FOLLOW,FORWARD
1.363510,1.735409,FOLLOW,FORWARD
1.371458,1.734497,FOLLOW,FORWARD
1.379405,1.733584,FOLLOW,FORWARD
1.387353,1.732672,FOLLOW,FORWARD
1.395301,1.731760,FOLLOW,FORWARD
1.403249,1.730848,FOLLOW,FORWARD
1.411197,1.729935,FOLLOW,FORWARD
1.419144,1.729023,FOLLOW,FORWARD
1.427092,1.728111,FOLLOW,FORWARD
1.435040,1.727198,FOLLOW,FORWARD
1.442988,1.726286,FOLLOW,FORWARD
1.450936,1.725374,FOLLOW,FORWARD
1.458884,1.724461,FOLLOW,FORWARD
1.466831,1.723549,FOLLOW,FORWARD
1.474779,1.722637,FOLLOW,FORWARD
1.482727,1.721725,FOLLOW,FORWARD
1.490675,1.720812,FOLLOW,FORWARD
1.498623,1.719900,FOLLOW,FORWARD
1.506570,1.718988,FOLLOW,FORWARD
1.514518,1.718075,FOLLOW,FORWARD
1.522466,1.717163,FOLLOW,FORWARD
1.530414,1.716251,FOLLOW,FORWARD
1.538362,1.715339,FOLLOW,FORWARD
1.546309,1.714426,FOLLOW,FORWARD
1.554257,1.713514,FOLLOW,FORWARD
1.562205,1.712602,FOLLOW,FORWARD
1.570153,1.711689,FOLLOW,FORWARD
1.578101,1.710777,FOLLOW,FORWARD
1.586049,1.709865,FOLLOW,FORWARD
1.593996,1.708952,FOLLOW,FORWARD
1.601944,1.708040,FOLLOW,FORWARD
1.609892,1.707128,FOLLOW,FORWARD
1.617840,1.706216,FOLLOW,FORWARD
1.625788,1.705303,FOLLOW,FORWARD
1.633735,1.704391,FOLLOW,FORWARD
1.641683,1.703479,FOLLOW,FORWARD
1.649631,1.702566,FOLLOW,FORWARD
1.657579,1.701654,FOLLOW,FORWARD
1.665527,1.700742,FOLLOW,FORWARD
1.673474,1.699829,FOLLOW,FORWARD
1.681422,1.698917,FOLLOW,FORWARD
1.689370,1.698005,FOLLOW,FORWARD
1.697318,1.697093,FOLLOW,FORWARD
1.705266,1.696180,FOLLOW,FORWARD
1.713213,1.695268,FOLLOW,FORWARD
1.721161,1.694356,FOLLOW,FORWARD
1.729109,1.693443,FOLLOW,FORWARD
1.737057,1.692531,FOLLOW,FORWARD
1.745005,1.691619,FOLLOW,FORWARD
1.752953,1.690707,FOLLOW,FORWARD
1.760900,1.689794,FOLLOW,FORWARD
1.768848,1.688882,FOLLOW,FORWARD
1.776796,1.687970,FOLLOW,FORWARD
1.784744,1.687057,FOLLOW,FORWARD
1.792692,1.686145,FOLLOW,FORWARD
1.800639,1.685233,FOLLOW,FORWARD
1.808587,1.684320,FOLLOW,FORWARD
1.816535,1.683408,FOLLOW,FORWARD
1.824483,1.682496,FOLLOW,FORWARD
1.832431,1.681584,FOLLOW,FORWARD
1.840378,1.680671,FOLLOW,FORWARD
1.848326,1.679759,FOLLOW,FORWARD
1.856274,1.678847,FOLLOW,FORWARD
1.864222,1.677934,FOLLOW,FORWARD
1.872170,1.677022,FOLLOW,FORWARD
1.880118,1.676110,FOLLOW,FORWARD
1.888065,1.675197,FOLLOW,FORWARD
1.896013,1.674285,DIR_RIGHT,TURN_RIGHT
1.896808,1.674194,FOLLOW,FORWARD
1.903839,1.672643,FOLLOW,FORWARD
1.911633,1.670839,FOLLOW,FORWARD
1.919425,1.669026,FOLLOW,FORWARD
1.927217,1.667214,FOLLOW,FORWARD
1.935009,1.665401,FOLLOW,FORWARD
1.942801,1.663588,FOLLOW,FORWARD
1.950592,1.661776,FOLLOW,FORWARD
1.958384,1.659963,FOLLOW,FORWARD
1.966176,1.658150,FOLLOW,FORWARD
1.973968,1.656337,FOLLOW,FORWARD
1.981760,1.654525,FOLLOW,FORWARD
1.989552,1.652712,FOLLOW,FORWARD
1.997344,1.650899,FOLLOW,FORWARD
2.005136,1.649087,FOLLOW,FORWARD
2.012928,1.647274,FOLLOW,FORWARD
2.020720,1.645461,FOLLOW,FORWARD
2.028512,1.643649,FOLLOW,FORWARD
2.036304,1.641836,FOLLOW,FORWARD
2.044096,1.640023,FOLLOW,FORWARD
2.051888,1.638211,FOLLOW,FORWARD
2.059679,1.636398,FOLLOW,FORWARD
2.067471,1.634585,FOLLOW,FORWARD
2.075263,1.632772,FOLLOW,FORWARD
2.083055,1.630960,FOLLOW,FORWARD
2.090847,1.629147,FOLLOW,FORWARD
2.098639,1.627334,FOLLOW,FORWARD
2.106431,1.625522,FOLLOW,FORWARD
2.114223,1.623709,FOLLOW,FORWARD
2.122015,1.621896,FOLLOW,FORWARD
2.129807,1.620084,FOLLOW,FORWARD
2.137599,1.618271,FOLLOW,FORWARD
2.145391,1.616458,FOLLOW,FORWARD
2.153183,1.614646,FOLLOW,FORWARD
2.160975,1.612833,FOLLOW,FORWARD
2.168766,1.611020,FOLLOW,FORWARD
2.176558,1.609208,FOLLOW,FORWARD
2.184350,1.607395,FOLLOW,FORWARD
2.192142,1.605582,FOLLOW,FORWARD
2.199934,1.603769,FOLLOW,FORWARD
2.207726,1.601957,FOLLOW,FORWARD
2.215518,1.600144,FOLLOW,FORWARD
2.223310,1.598331,FOLLOW,FORWARD
2.231102,1.596519,FOLLOW,FORWARD
2.238894,1.594706,FOLLOW,FORWARD
2.246686,1.592893,FOLLOW,FORWARD
2.254478,1.591081,FOLLOW,FORWARD
2.262270,1.589268,FOLLOW,FORWARD
2.270062,1.587455,FOLLOW,FORWARD
2.277853,1.585643,FOLLOW,FORWARD
2.285645,1.583830,FOLLOW,FORWARD
2.293437,1.582017,FOLLOW,FORWARD
2.301229,1.580204,FOLLOW,FORWARD
2.309021,1.578392,FOLLOW,FORWARD
2.316813,1.576579,FOLLOW,FORWARD
2.324605,1.574766,FOLLOW,FORWARD
2.332397,1.572954,FOLLOW,FORWARD
