0.000000,2.300000,NO_TARGET_TO_FOLLOW,WANDER
0.016679,2.300000,TARGET_FOLLOW,FOLLOW
0.054832,2.300000,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.070435,2.298971,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.075685,2.294466,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.077459,2.287806,TARGET_FOLLOW,FOLLOW
0.066062,2.258603,TARGET_FOLLOW,FOLLOW
0.064378,2.219162,TARGET_FOLLOW,FOLLOW
0.078315,2.182438,TARGET_FOLLOW,FOLLOW
0.101677,2.152008,TARGET_FOLLOW,FOLLOW
0.128906,2.127592,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.139453,2.119284,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.142717,2.113125,TARGET_FOLLOW,FOLLOW
0.138720,2.084460,TARGET_FOLLOW,FOLLOW
0.144989,2.049559,TARGET_FOLLOW,FOLLOW
0.163553,2.020200,TARGET_FOLLOW,FOLLOW
0.188079,1.998161,TARGET_FOLLOW,FOLLOW
0.213842,1.981823,TARGET_FOLLOW,FOLLOW
0.238868,1.969435,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.247447,1.965607,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.254188,1.966434,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.260954,1.964533,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.267946,1.965352,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.274760,1.963439,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.281830,1.964268,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.288684,1.962346,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.297074,1.963392,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.307194,1.972492,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.310770,1.986251,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.308415,1.993861,TARGET_FOLLOW,FOLLOW
0.285244,2.009342,TARGET_FOLLOW,FOLLOW
0.264874,2.039574,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.260869,2.052486,TARGET_FOLLOW,FOLLOW
0.260920,2.053188,TARGET_FOLLOW,FOLLOW
0.260920,2.053192,TARGET_FOLLOW,FOLLOW
0.260923,2.053196,TARGET_FOLLOW,FOLLOW
0.260926,2.053198,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.266808,2.055408,TARGET_FOLLOW,FOLLOW
0.267464,2.055657,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.273266,2.058103,TARGET_FOLLOW,FOLLOW
0.273914,2.058378,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.279742,2.060835,TARGET_FOLLOW,FOLLOW
0.280392,2.061111,OBSTACLE_AND_TARGET_DETECTED,AVOID
0.286246,2.063579,TARGET_FOLLOW,FOLLOW
